filepath,label,tx,ty,tz,qx,qy,qz,qw
val/morobot-s_Achse-1A_gray/morobot-s_Achse-1A_gray_front_view.png,morobot-s_Achse-1A_gray,0,0,-252,0.0,0.0,0.0,1.0
val/morobot-s_Linearachse_yellow/morobot-s_Linearachse_yellow_front_view.png,morobot-s_Linearachse_yellow,0,0,-181,0.0,0.0,0.0,1.0
val/morobot-s_Zahnrad_yellow/morobot-s_Zahnrad_yellow_front_view.png,morobot-s_Zahnrad_yellow,0,0,-58,0.0,0.0,0.0,1.0
val/morobot-s_Achse-2A_gray/morobot-s_Achse-2A_gray_front_view.png,morobot-s_Achse-2A_gray,0,0,-310,0.0,0.0,0.0,1.0
val/morobot-s_Achse-1B_yellow/morobot-s_Achse-1B_yellow_front_view.png,morobot-s_Achse-1B_yellow,0,0,-252,0.0,0.0,0.0,1.0
val/morobot-s_Achse-1A_yellow/morobot-s_Achse-1A_yellow_front_view.png,morobot-s_Achse-1A_yellow,0,0,-252,0.0,0.0,0.0,1.0
val/morobot-s_Achse-1A_gray/morobot-s_Achse-1A_gray_back_view.png,morobot-s_Achse-1A_gray,0,0,252,0.0,1.0,0.0,0.0
val/morobot-s_Linearachse_yellow/morobot-s_Linearachse_yellow_back_view.png,morobot-s_Linearachse_yellow,0,0,181,0.0,1.0,0.0,0.0
val/morobot-s_Zahnrad_yellow/morobot-s_Zahnrad_yellow_back_view.png,morobot-s_Zahnrad_yellow,0,0,58,0.0,1.0,0.0,0.0
val/morobot-s_Achse-2A_gray/morobot-s_Achse-2A_gray_back_view.png,morobot-s_Achse-2A_gray,0,0,310,0.0,1.0,0.0,0.0
val/morobot-s_Achse-1B_yellow/morobot-s_Achse-1B_yellow_back_view.png,morobot-s_Achse-1B_yellow,0,0,252,0.0,1.0,0.0,0.0
val/morobot-s_Achse-1A_yellow/morobot-s_Achse-1A_yellow_back_view.png,morobot-s_Achse-1A_yellow,0,0,252,0.0,1.0,0.0,0.0
